mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
114	114	0	0	3/4	2	1	viio65/V		G	i		viio65/V		vii	o	65		V				o7	0	1	4, 1, -2, 7		7	4	0	7	0.0	0.0	2.0	0.0
114	114	3/8	3/8	3/4	2	1	v6		G	i		v6		v		6						m	0	1	-1, 3, 2		2	-1	0	6	0.0	0.0	0.375	0.0
115	115	0	0	3/4	2	1	#viio65/vi		G	i		#viio65/vi		#vii	o	65		vi				o7	0	1	-1, -4, -7, 2		2	-1	7	0	1.0	0.25	0.0	1.0
115	115	1/4	1/4	3/4	2	1	vi6		G	i		vi6		vi		6						m	0	1	-6, -2, -3		-3	-6	6	0	1.0	0.25	0.0	1.0
115	115	1/2	1/2	3/4	2	1	bvii6		G	i		bvii6		bvii		6						m	0	1	-11, -7, -8		-8	-11	6	0	1.0	0.25	0.0	1.0
116	116	0	0	3/4	2	1	viio65		G	i		viio65		vii	o	65						o7	0	1	-4, -7, -10, -1		-1	-4	7	0	1.0	0.25	0.0	1.0
116	116	1/4	1/4	3/4	2	1	i6		G	i		i6		i		6						m	0	1	-2, 2, 1		1	-2	0	6	0.0	0.0	0.25	0.0
116	116	1/2	1/2	3/4	2	1	#viio65/ii		G	i		#viio65/ii		#vii	o	65		ii				o7	0	1	5, 2, -1, 8		8	5	1	6	0.14285714285714285	0.03125	0.21875	0.125
117	117	0	0	3/4	2	1	ii6		G	i		ii6		ii		6						m	0	1	0, 4, 3		3	0	0	9	0.0	0.0	0.25	0.0
117	117	1/4	1/4	3/4	2	1	ii		G	i		ii		ii								m	0	1	3, 0, 4		3	3	0	9	0.0	0.0	0.25	0.0
117	117	1/2	1/2	3/4	2	1	V65		G	i		V65		V		65						Mm7	0	1	6, 3, 0, 2		2	6	0	9	0.0	0.0	0.25	0.0
118	118	0	0	3/4	2	1	V[V7		G	i	V	V7		V		7						Mm7	0	1	2, 6, 3, 0		2	2	3	9	0.25	0.1875	1.25	0.13043478260869565
119	119	0	0	3/4	2	1	I6		G	i		I6		I		6						M	0	1	5, 2, 1		1	5	0	5	0.0	0.0	1.0	0.0
119	119	1/4	1/4	3/4	2	1	viio6		G	i		viio6		vii	o	6						o	0	1	-4, -7, -1		-1	-4	4	0	1.0	0.25	0.0	1.0
119	119	1/2	1/2	3/4	2	1	vi6		G	i		vi6		vi		6						m	0	1	-6, -2, -3		-3	-6	4	0	1.0	0.25	0.0	1.0
120	120	0	0	3/4	2	1	V6}		G	i		V6		V		6					}	M	0	1	6, 3, 2		2	6	0	5	0.0	0.0	0.5	0.0
120	120	1/4	1/4	3/4	2	1	IV6		G	i		IV6		IV		6						M	0	1	4, 1, 0		0	4	0	4	0.0	0.0	0.25	0.0
120	120	1/2	1/2	3/4	2	1	iii6		G	i		iii6		iii		6						m	0	1	-5, -1, -2		-2	-5	4	0	1.0	0.25	0.0	1.0
121	121	0	0	3/4	2	1	ii6		G	i		ii6		ii		6						m	0	1	0, 4, 3		3	0	0	4	0.0	0.0	0.25	0.0
121	121	1/4	1/4	3/4	2	1	V(64)		G	i		V(64)		V			64					M	0	1	2, 1, -2		2	2	2	3	0.4	0.125	0.375	0.25
121	121	1/2	1/2	3/4	2	1	V7		G	i		V7		V		7						Mm7	0	1	2, 6, 3, 0		2	2	0	5	0.0	0.0	0.5	0.0
122	122	0	0	3/4	2	1	I|PAC}		G	i		I		I						PAC	}	M	0	1	1, 5, 2		1	1	0	4	0.0	0.0	1.125	0.0
