mc	mn	quarterbeats	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	duration_qb
41	41	325/2	5/8	5/8	4/4	2	1	V		E	I		V		V							M	0	0	1, 5, 2		1	1	
41	41	163	3/4	3/4	4/4	2	1	I|PAC}		E	I		I		I					PAC	}	M	0	0	0, 4, 1		0	0	
42	42	164	0	0	4/4	2	1	{		E	I										{		0	0					0.0
42	42	329/2	1/8	1/8	4/4	2	1	V6		E	I		V6		V		6					M	0	0	5, 2, 1		1	5	
42	42	165	1/4	1/4	4/4	2	1	V65/V		E	I		V65/V		V		65		V			Mm7	0	0	6, 3, 0, 2		2	6	
42	42	331/2	3/8	3/8	4/4	2	1	V		E	I		V		V							M	0	0	1, 5, 2		1	1	
42	42	166	1/2	1/2	4/4	2	1	V2/V		E	I		V2/V		V		2		V			Mm7	0	0	0, 2, 6, 3		2	0	
42	42	333/2	5/8	5/8	4/4	2	1	V6		E	I		V6		V		6					M	0	0	5, 2, 1		1	5	
42	42	167	3/4	3/4	4/4	2	1	viio/V		E	I		viio/V		vii	o			V			o	0	0	6, 3, 0		6	6	
42	42	335/2	7/8	7/8	4/4	2	1	V		E	I		V		V							M	0	0	1, 5, 2		1	1	
43	43	168	0	0	4/4	2	1	V43		E	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2	
43	43	337/2	1/8	1/8	4/4	2	1	I		E	I		I		I							M	0	0	0, 4, 1		0	0	
43	43	169	1/4	1/4	4/4	2	1	V65/vi		E	I		V65/vi		V		65		vi			Mm7	0	0	8, 5, 2, 4		4	8	
43	43	339/2	3/8	3/8	4/4	2	1	vi		E	I		vi		vi							m	0	0	3, 0, 4		3	3	
43	43	170	1/2	1/2	4/4	2	1	V2/vi		E	I		V2/vi		V		2		vi			Mm7	0	0	2, 4, 8, 5		4	2	
43	43	341/2	5/8	5/8	4/4	2	1	vi6		E	I		vi6		vi		6					m	0	0	0, 4, 3		3	0	
43	43	171	3/4	3/4	4/4	2	1	#viio/vi}		E	I		#viio/vi		#vii	o			vi		}	o	0	0	8, 5, 2		8	8	
43	43	343/2	7/8	7/8	4/4	2	1	vi		E	I		vi		vi							m	0	0	3, 0, 4		3	3	
44	44	172	0	0	4/4	2	1	V6{		E	I		V6		V		6				{	M	0	0	5, 2, 1		1	5	
44	44	345/2	1/8	1/8	4/4	2	1	V43/V		E	I		V43/V		V		43		V			Mm7	0	0	3, 0, 2, 6		2	3	
44	44	173	1/4	1/4	4/4	2	1	V(4)		E	I		V(4)		V			4				M	0	0	1, 0, 2		1	1	
44	44	347/2	3/8	3/8	4/4	2	1	V2		E	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1	
44	44	174	1/2	1/2	4/4	2	1	I6		E	I		I6		I		6					M	0	0	4, 1, 0		0	4	
45	45	176	0	0	4/4	2	1	ii6		E	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1	
45	45	179	3/4	3/4	4/4	2	1	V(^4)		E	I		V(^4)		V			^4				M	0	0	1, 5, 0		1	1	
45	45	359/2	7/8	7/8	4/4	2	1	V		E	I		V		V							M	0	0	1, 5, 2		1	1	
46	46	180	0	0	4/4	2	1	vi|DC}		E	I		vi		vi					DC	}	m	0	0	3, 0, 4		3	3	
47	47	184	0	0	12/8	2	1	II.I{		E	II		I		I						{	M	0	0	0, 4, 1		0	0	
47	47	185	1/4	1/4	12/8	2	1	V6		E	II		V6		V		6					M	0	0	5, 2, 1		1	5	
47	47	371/2	3/8	3/8	12/8	2	1	V43		E	II		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2	
47	47	373/2	5/8	5/8	12/8	2	1	I		E	II		I		I							M	0	0	0, 4, 1		0	0	
47	47	187	3/4	3/4	12/8	2	1	V6		E	II		V6		V		6					M	0	0	5, 2, 1		1	5	
47	47	188	1	1	12/8	2	1	viio6/V		E	II		viio6/V		vii	o	6		V			o	0	0	3, 0, 6		6	3	
47	47	377/2	9/8	9/8	12/8	2	1	V(4)		E	II		V(4)		V			4				M	0	0	1, 0, 2		1	1	
47	47	379/2	11/8	11/8	12/8	2	1	V		E	II		V		V							M	0	0	1, 5, 2		1	1	
48	48	190	0	0	12/8	2	1	I6		E	II		I6		I		6					M	0	0	4, 1, 0		0	4	
48	48	191	1/4	1/4	12/8	2	1	V65/IV		E	II		V65/IV		V		65		IV			Mm7	0	0	4, 1, -2, 0		0	4	
48	48	383/2	3/8	3/8	12/8	2	1	IV		E	II		IV		IV							M	0	0	-1, 3, 0		-1	-1	
48	48	193	3/4	3/4	12/8	2	1	V7		E	II		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1	
48	48	389/2	9/8	9/8	12/8	2	1	I(4)}		E	II		I(4)		I			4			}	M	0	0	0, -1, 1		0	0	
48	48	391/2	11/8	11/8	12/8	2	1	I|IAC		E	II		I		I					IAC		M	0	0	0, 4, 1		0	0	
49	49	196	0	0	12/8	2	1	{		E	II										{		0	0					0.0
49	49	197	1/4	1/4	12/8	2	1	V6		E	II		V6		V		6					M	0	0	5, 2, 1		1	5	
49	49	395/2	3/8	3/8	12/8	2	1	V43		E	II		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2	
49	49	397/2	5/8	5/8	12/8	2	1	I		E	II		I		I							M	0	0	0, 4, 1		0	0	
49	49	199	3/4	3/4	12/8	2	1	V6		E	II		V6		V		6					M	0	0	5, 2, 1		1	5	
49	49	200	1	1	12/8	2	1	viio6/V		E	II		viio6/V		vii	o	6		V			o	0	0	3, 0, 6		6	3	
49	49	401/2	9/8	9/8	12/8	2	1	V(4)		E	II		V(4)		V			4				M	0	0	1, 0, 2		1	1	
49	49	403/2	11/8	11/8	12/8	2	1	V		E	II		V		V							M	0	0	1, 5, 2		1	1	
50	50	202	0	0	12/8	2	1	I6		E	II		I6		I		6					M	0	0	4, 1, 0		0	4	
50	50	203	1/4	1/4	12/8	2	1	V65/IV		E	II		V65/IV		V		65		IV			Mm7	0	0	4, 1, -2, 0		0	4	
50	50	407/2	3/8	3/8	12/8	2	1	IV		E	II		IV		IV							M	0	0	-1, 3, 0		-1	-1	
50	50	409/2	5/8	5/8	12/8	2	1	ii6		E	II		ii6		ii		6					m	0	0	-1, 3, 2		2	-1	
50	50	205	3/4	3/4	12/8	2	1	V(64)		E	II		V(64)		V			64				M	0	0	1, 0, 4		1	1	
50	50	206	1	1	12/8	2	1	V7		E	II		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1	
50	50	413/2	9/8	9/8	12/8	2	1	I|PAC}		E	II		I		I					PAC	}	M	0	0	0, 4, 1		0	0	
51	51	208	0	0	12/8	2	1	{		E	II										{		0	0					0.0
51	51	209	1/4	1/4	12/8	2	1	viio		E	II		viio		vii	o						o	0	0	5, 2, -1		5	5	
51	51	419/2	3/8	3/8	12/8	2	1	viio6		E	II		viio6		vii	o	6					o	0	0	2, -1, 5		5	2	
51	51	421/2	5/8	5/8	12/8	2	1	I		E	II		I		I							M	0	0	0, 4, 1		0	0	
51	51	211	3/4	3/4	12/8	2	1	V6		E	II		V6		V		6					M	0	0	5, 2, 1		1	5	
51	51	212	1	1	12/8	2	1	viio6/V		E	II		viio6/V		vii	o	6		V			o	0	0	3, 0, 6		6	3	
51	51	425/2	9/8	9/8	12/8	2	1	V		E	II		V		V							M	0	0	1, 5, 2		1	1	
51	51	427/2	11/8	11/8	12/8	2	1	V2		E	II		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1	
52	52	214	0	0	12/8	2	1	I6		E	II		I6		I		6					M	0	0	4, 1, 0		0	4	
52	52	431/2	3/8	3/8	12/8	2	1	ii6		E	II		ii6		ii		6					m	0	0	-1, 3, 2		2	-1	
52	52	871/4	15/16	15/16	12/8	2	1	viio		E	II		viio		vii	o						o	0	0	5, 2, -1		5	5	
52	52	877/4	21/16	21/16	12/8	2	1	I|PAC}		E	II		I		I					PAC	}	M	0	0	0, 4, 1		0	0	
53	53	220	0	0	12/8	2	1	{		E	II										{		0	0					0.0
53	53	221	1/4	1/4	12/8	2	1	V6		E	II		V6		V		6					M	0	0	5, 2, 1		1	5	
53	53	443/2	3/8	3/8	12/8	2	1	V43		E	II		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2	
53	53	445/2	5/8	5/8	12/8	2	1	I		E	II		I		I							M	0	0	0, 4, 1		0	0	
53	53	223	3/4	3/4	12/8	2	1	V6		E	II		V6		V		6					M	0	0	5, 2, 1		1	5	
53	53	224	1	1	12/8	2	1	viio6/V		E	II		viio6/V		vii	o	6		V			o	0	0	3, 0, 6		6	3	
53	53	449/2	9/8	9/8	12/8	2	1	V(4)		E	II		V(4)		V			4				M	0	0	1, 0, 2		1	1	
53	53	451/2	11/8	11/8	12/8	2	1	V2		E	II		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1	
54	54	226	0	0	12/8	2	1	I6		E	II		I6		I		6					M	0	0	4, 1, 0		0	4	
54	54	453/2	1/8	1/8	12/8	2	1	ii65		E	II		ii65		ii		65					mm7	0	0	-1, 3, 0, 2		2	-1	
54	54	227	1/4	1/4	12/8	2	1	viio7/V		E	II		viio7/V		vii	o	7		V			o7	0	0	6, 3, 0, -3		6	6	
54	54	455/2	3/8	3/8	12/8	2	1	V(64)		E	II		V(64)		V			64				M	0	0	1, 0, 4		1	1	
54	54	228	1/2	1/2	12/8	2	1	iv6		E	II		iv6		iv		6					m	0	0	-4, 0, -1		-1	-4	
54	54	457/2	5/8	5/8	12/8	2	1	viio6/V		E	II		viio6/V		vii	o	6		V			o	0	0	3, 0, 6		6	3	
54	54	229	3/4	3/4	12/8	2	1	V(64)		E	II		V(64)		V			64				M	0	0	1, 0, 4		1	1	
54	54	230	1	1	12/8	2	1	V		E	II		V		V							M	0	0	1, 5, 2		1	1	
54	54	461/2	9/8	9/8	12/8	2	1	I|PAC}		E	II		I		I					PAC	}	M	0	0	0, 4, 1		0	0	
55	55	232	0	0	12/8	2	1	V2/IV{		E	II		V2/IV		V		2		IV		{	Mm7	0	0	-2, 0, 4, 1		0	-2	
55	55	467/2	3/8	3/8	12/8	2	1	iv6		E	II		iv6		iv		6					m	0	0	-4, 0, -1		-1	-4	
55	55	235	3/4	3/4	12/8	2	1	#viio6/iv}		E	II		#viio6/iv		#vii	o	6		iv		}	o	0	0	1, -2, 4		4	1	
56	56	238	0	0	4/4	2	1	v.i{		E	v		i		i						{	m	0	1	0, -3, 1		0	0	
56	56	239	1/4	1/4	4/4	2	1	V7/VII		E	v		V7/VII		V		7		VII			Mm7	0	1	-1, 3, 0, -3		-1	-1	
56	56	240	1/2	1/2	4/4	2	1	vii		E	v		vii		vii							m	0	1	-2, -5, -1		-2	-2	
56	56	241	3/4	3/4	4/4	2	1	V7/VI		E	v		V7/VI		V		7		VI			Mm7	0	1	-3, 1, -2, -5		-3	-3	
57	57	242	0	0	4/4	2	1	VI		E	v		VI		VI							M	0	1	-4, 0, -3		-4	-4	
57	57	244	1/2	1/2	4/4	2	1	V7/bII		E	v		V7/bII		V		7		bII			Mm7	0	1	-4, 0, -3, -6		-4	-4	
57	57	245	3/4	3/4	4/4	2	1	bII64		E	v		bII64		bII		64					M	0	1	-4, -5, -1		-5	-4	
57	57	247	5/4	5/4	4/4	2	1	V7/bII}		E	v		V7/bII		V		7		bII		}	Mm7	0	1	-4, 0, -3, -6		-4	-4	
58	58	249	0	0	4/4	2	1	bVI.I{		E	bVI		I		I						{	M	0	0	0, 4, 1		0	0	
58	58	499/2	1/8	1/8	4/4	2	1	V6		E	bVI		V6		V		6					M	0	0	5, 2, 1		1	5	
58	58	250	1/4	1/4	4/4	2	1	V43		E	bVI		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2	
58	58	501/2	3/8	3/8	4/4	2	1	I		E	bVI		I		I							M	0	0	0, 4, 1		0	0	
58	58	251	1/2	1/2	4/4	2	1	V6		E	bVI		V6		V		6					M	0	0	5, 2, 1		1	5	
58	58	503/2	5/8	5/8	4/4	2	1	viio6/V		E	bVI		viio6/V		vii	o	6		V			o	0	0	3, 0, 6		6	3	
58	58	252	3/4	3/4	4/4	2	1	V(4)		E	bVI		V(4)		V			4				M	0	0	1, 0, 2		1	1	
58	58	505/2	7/8	7/8	4/4	2	1	V		E	bVI		V		V							M	0	0	1, 5, 2		1	1	
59	59	253	0	0	4/4	2	1	I6		E	bVI		I6		I		6					M	0	0	4, 1, 0		0	4	
59	59	254	1/4	1/4	4/4	2	1	ii6		E	bVI		ii6		ii		6					m	0	0	-1, 3, 2		2	-1	
59	59	255	1/2	1/2	4/4	2	1	V7		E	bVI		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1	
59	59	256	3/4	3/4	4/4	2	1	I(94)}		E	bVI		I(94)		I			94			}	M	0	0	0, -1, 1	2	0	0	
59	59	513/2	7/8	7/8	4/4	2	1	I|IAC		E	bVI		I		I					IAC		M	0	0	0, 4, 1		0	0	
60	60	257	0	0	4/4	2	1	{		E	bVI										{		0	0					0.0
60	60	515/2	1/8	1/8	4/4	2	1	V6		E	bVI		V6		V		6					M	0	0	5, 2, 1		1	5	
60	60	258	1/4	1/4	4/4	2	1	V43		E	bVI		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2	
60	60	517/2	3/8	3/8	4/4	2	1	I		E	bVI		I		I							M	0	0	0, 4, 1		0	0	
60	60	259	1/2	1/2	4/4	2	1	V6		E	bVI		V6		V		6					M	0	0	5, 2, 1		1	5	
60	60	519/2	5/8	5/8	4/4	2	1	viio6/V		E	bVI		viio6/V		vii	o	6		V			o	0	0	3, 0, 6		6	3	
60	60	260	3/4	3/4	4/4	2	1	V(4)		E	bVI		V(4)		V			4				M	0	0	1, 0, 2		1	1	
60	60	521/2	7/8	7/8	4/4	2	1	V		E	bVI		V		V							M	0	0	1, 5, 2		1	1	
61	61	261	0	0	4/4	2	1	I6		E	bVI		I6		I		6					M	0	0	4, 1, 0		0	4	
61	61	262	1/4	1/4	4/4	2	1	ii6		E	bVI		ii6		ii		6					m	0	0	-1, 3, 2		2	-1	
61	61	263	1/2	1/2	4/4	2	1	V(64)		E	bVI		V(64)		V			64				M	0	0	1, 0, 4		1	1	
61	61	527/2	5/8	5/8	4/4	2	1	V		E	bVI		V		V							M	0	0	1, 5, 2		1	1	
61	61	264	3/4	3/4	4/4	2	1	I|PAC}		E	bVI		I		I					PAC	}	M	0	0	0, 4, 1		0	0	
62	62	265	0	0	4/4	2	1	{		E	bVI										{		0	0					0.0
62	62	531/2	1/8	1/8	4/4	2	1	V6		E	bVI		V6		V		6					M	0	0	5, 2, 1		1	5	
62	62	266	1/4	1/4	4/4	2	1	V43		E	bVI		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2	
62	62	533/2	3/8	3/8	4/4	2	1	I		E	bVI		I		I							M	0	0	0, 4, 1		0	0	
62	62	267	1/2	1/2	4/4	2	1	V6		E	bVI		V6		V		6					M	0	0	5, 2, 1		1	5	
62	62	535/2	5/8	5/8	4/4	2	1	viio6/V		E	bVI		viio6/V		vii	o	6		V			o	0	0	3, 0, 6		6	3	
62	62	268	3/4	3/4	4/4	2	1	V		E	bVI		V		V							M	0	0	1, 5, 2		1	1	
62	62	537/2	7/8	7/8	4/4	2	1	V2		E	bVI		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1	
63	63	269	0	0	4/4	2	1	I6		E	bVI		I6		I		6					M	0	0	4, 1, 0		0	4	
63	63	270	1/4	1/4	4/4	2	1	ii6		E	bVI		ii6		ii		6					m	0	0	-1, 3, 2		2	-1	
63	63	271	1/2	1/2	4/4	2	1	V		E	bVI		V		V							M	0	0	1, 5, 2		1	1	
63	63	543/2	5/8	5/8	4/4	2	1	V65		E	bVI		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5	
63	63	272	3/4	3/4	4/4	2	1	I(4)}		E	bVI		I(4)		I			4			}	M	0	0	0, -1, 1		0	0	
63	63	545/2	7/8	7/8	4/4	2	1	I|IAC		E	bVI		I		I					IAC		M	0	0	0, 4, 1		0	0	
64	64	273	0	0	4/4	2	1	{		E	bVI										{		0	0					0.0
64	64	547/2	1/8	1/8	4/4	2	1	V6		E	bVI		V6		V		6					M	0	0	5, 2, 1		1	5	
64	64	274	1/4	1/4	4/4	2	1	V43		E	bVI		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2	
64	64	549/2	3/8	3/8	4/4	2	1	I		E	bVI		I		I							M	0	0	0, 4, 1		0	0	
64	64	275	1/2	1/2	4/4	2	1	V6		E	bVI		V6		V		6					M	0	0	5, 2, 1		1	5	
64	64	551/2	5/8	5/8	4/4	2	1	viio6		E	bVI		viio6		vii	o	6					o	0	0	2, -1, 5		5	2	
64	64	276	3/4	3/4	4/4	2	1	V(4)		E	bVI		V(4)		V			4				M	0	0	1, 0, 2		1	1	
64	64	553/2	7/8	7/8	4/4	2	1	V2		E	bVI		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1	
65	65	277	0	0	4/4	2	1	I6		E	bVI		I6		I		6					M	0	0	4, 1, 0		0	4	
65	65	278	1/4	1/4	4/4	2	1	ii6		E	bVI		ii6		ii		6					m	0	0	-1, 3, 2		2	-1	
65	65	559/2	5/8	5/8	4/4	2	1	V		E	bVI		V		V							M	0	0	1, 5, 2		1	1	
65	65	280	3/4	3/4	4/4	2	1	I|PAC}		E	bVI		I		I					PAC	}	M	0	0	0, 4, 1		0	0	
66	66	281	0	0	4/4	2	1	bIII.viio64{		E	bIII		viio64		vii	o	64				{	o	0	0	-1, 5, 2		5	-1	
66	66	282	1/4	1/4	4/4	2	1	#viio6/ii		E	bIII		#viio6/ii		#vii	o	6		ii			o	0	0	4, 1, 7		7	4	
66	66	283	1/2	1/2	4/4	2	1	ii(9#7)		E	bIII		ii(9#7)		ii			9#7				m	0	0	2, -1, 3	4, 7	2	2	
66	66	567/2	5/8	5/8	4/4	2	1	ii		E	bIII		ii		ii							m	0	0	2, -1, 3		2	2	
66	66	284	3/4	3/4	4/4	2	1	V(64)		E	bIII		V(64)		V			64				M	0	0	1, 0, 4		1	1	
66	66	569/2	7/8	7/8	4/4	2	1	V		E	bIII		V		V							M	0	0	1, 5, 2		1	1	
67	67	285	0	0	4/4	2	1	#viio64/ii		E	bIII		#viio64/ii		#vii	o	64		ii			o	0	0	1, 7, 4		7	1	
67	67	286	1/4	1/4	4/4	2	1	ii6		E	bIII		ii6		ii		6					m	0	0	-1, 3, 2		2	-1	
67	67	287	1/2	1/2	4/4	2	1	iii7		E	bIII		iii7		iii		7					mm7	0	0	4, 1, 5, 2		4	4	
67	67	288	3/4	3/4	4/4	2	1	vi(64)		E	bIII		vi(64)		vi			64				m	0	0	3, 2, -1		3	3	
67	67	577/2	7/8	7/8	4/4	2	1	vi		E	bIII		vi		vi							m	0	0	3, 0, 4		3	3	
68	68	289	0	0	4/4	2	1	viio64		E	bIII		viio64		vii	o	64					o	0	0	-1, 5, 2		5	-1	
68	68	290	1/4	1/4	4/4	2	1	I6		E	bIII		I6		I		6					M	0	0	4, 1, 0		0	4	
68	68	291	1/2	1/2	4/4	2	1	viio6		E	bIII		viio6		vii	o	6					o	0	0	2, -1, 5		5	2	
68	68	292	3/4	3/4	4/4	2	1	I		E	bIII		I		I							M	0	0	0, 4, 1		0	0	
69	69	293	0	0	4/4	2	1	ii6		E	bIII		ii6		ii		6					m	0	0	-1, 3, 2		2	-1	
69	69	296	3/4	3/4	4/4	2	1	V[V(4)		E	bIII	V	V(4)		V			4				M	0	0	1, 0, 2		1	1	
69	69	593/2	7/8	7/8	4/4	2	1	V		E	bIII	V	V		V							M	0	0	1, 5, 2		1	1	
70	70	297	0	0	4/4	2	1	I		E	bIII	V	I		I							M	0	0	0, 4, 1		0	0	
71	71	301	0	0	4/4	2	1	V7]		E	bIII	V	V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1	
72	72	305	0	0	4/4	2	1	V65/vi		E	bIII		V65/vi		V		65		vi			Mm7	0	0	8, 5, 2, 4		4	8	
72	72	611/2	1/8	1/8	4/4	2	1	vi		E	bIII		vi		vi							m	0	0	3, 0, 4		3	3	
72	72	306	1/4	1/4	4/4	2	1	V7/V		E	bIII		V7/V		V		7		V			Mm7	0	0	2, 6, 3, 0		2	2	
72	72	613/2	3/8	3/8	4/4	2	1	vi/V		E	bIII		vi/V		vi				V			m	0	0	4, 1, 5		4	4	
72	72	307	1/2	1/2	4/4	2	1	viio/V		E	bIII		viio/V		vii	o			V			o	0	0	6, 3, 0		6	6	
72	72	308	3/4	3/4	4/4	2	1	V		E	bIII		V		V							M	0	0	1, 5, 2		1	1	
73	73	309	0	0	4/4	2	1	I6		E	bIII		I6		I		6					M	0	0	4, 1, 0		0	4	
73	73	310	1/4	1/4	4/4	2	1	ii6		E	bIII		ii6		ii		6					m	0	0	-1, 3, 2		2	-1	
73	73	311	1/2	1/2	4/4	2	1	V(^4)		E	bIII		V(^4)		V			^4				M	0	0	1, 5, 0		1	1	
73	73	623/2	5/8	5/8	4/4	2	1	V		E	bIII		V		V							M	0	0	1, 5, 2		1	1	
73	73	312	3/4	3/4	4/4	2	1	I|PAC}		E	bIII		I		I					PAC	}	M	0	0	0, 4, 1		0	0	
74	74	313	0	0	4/4	2	1	{		E	bIII										{		0	0					0.0
74	74	627/2	1/8	1/8	4/4	2	1	I(64)		E	bIII		I(64)		I			64				M	0	0	0, -1, 3		0	0	
74	74	629/2	3/8	3/8	4/4	2	1	I7		E	bIII		I7		I		7					Mm7	0	0	0, 4, 1, -2		0	0	
74	74	315	1/2	1/2	4/4	2	1	V65/ii		E	bIII		V65/ii		V		65		ii			Mm7	0	0	7, 4, 1, 3		3	7	
74	74	316	3/4	3/4	4/4	2	1	II(4)		E	bIII		II(4)		II			4				M	0	0	2, 1, 3		2	2	
74	74	633/2	7/8	7/8	4/4	2	1	II		E	bIII		II		II							M	0	0	2, 6, 3		2	2	
75	75	635/2	1/8	1/8	4/4	2	1	II(64)		E	bIII		II(64)		II			64				M	0	0	2, 1, 5		2	2	
75	75	637/2	3/8	3/8	4/4	2	1	II7		E	bIII		II7		II		7					Mm7	0	0	2, 6, 3, 0		2	2	
75	75	319	1/2	1/2	4/4	2	1	V65/V/vi		E	bIII		V65/V/vi		V		65		V/vi			Mm7	0	0	9, 6, 3, 5		5	9	
75	75	320	3/4	3/4	4/4	2	1	V(4)/vi		E	bIII		V(4)/vi		V			4	vi			M	0	0	4, 3, 5		4	4	
75	75	641/2	7/8	7/8	4/4	2	1	VI/vi		E	bIII		VI/vi		VI				vi			M	0	0	-1, 3, 0		-1	-1	
76	76	321	0	0	4/4	2	1	#viio43/vi		E	bIII		#viio43/vi		#vii	o	43		vi			o7	0	0	2, -1, 8, 5		8	2	
76	76	643/2	1/8	1/8	4/4	2	1	vi6		E	bIII		vi6		vi		6					m	0	0	0, 4, 3		3	0	
76	76	645/2	3/8	3/8	4/4	2	1	#viio6		E	bIII		#viio6		#vii	o	6					o	0	0	2, -1, 5		5	2	
76	76	323	1/2	1/2	4/4	2	1	i		E	bIII		i		i							m	0	0	0, -3, 1		0	0	
76	76	647/2	5/8	5/8	4/4	2	1	V6		E	bIII		V6		V		6					M	0	0	5, 2, 1		1	5	
76	76	324	3/4	3/4	4/4	2	1	#viio43/vi		E	bIII		#viio43/vi		#vii	o	43		vi			o7	0	0	2, -1, 8, 5		8	2	
76	76	649/2	7/8	7/8	4/4	2	1	vi6		E	bIII		vi6		vi		6					m	0	0	0, 4, 3		3	0	
77	77	325	0	0	4/4	2	1	V65/V/vi		E	bIII		V65/V/vi		V		65		V/vi			Mm7	0	0	9, 6, 3, 5		5	9	
77	77	326	1/4	1/4	4/4	2	1	V/vi		E	bIII		V/vi		V				vi			M	0	0	4, 8, 5		4	4	
77	77	327	1/2	1/2	4/4	2	1	V(64)/vi		E	bIII		V(64)/vi		V			64	vi			M	0	0	4, 3, 0		4	4	
77	77	328	3/4	3/4	4/4	2	1	V/vi}		E	bIII		V/vi		V				vi		}	M	0	0	4, 8, 5		4	4	
78	78	329	0	0	4/4	2	1	I.I{		E	I		I		I						{	M	0	0	0, 4, 1		0	0	
78	78	659/2	1/8	1/8	4/4	2	1	V6		E	I		V6		V		6					M	0	0	5, 2, 1		1	5	
78	78	330	1/4	1/4	4/4	2	1	V43		E	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2	
78	78	661/2	3/8	3/8	4/4	2	1	I		E	I		I		I							M	0	0	0, 4, 1		0	0	
78	78	331	1/2	1/2	4/4	2	1	V6		E	I		V6		V		6					M	0	0	5, 2, 1		1	5	
78	78	663/2	5/8	5/8	4/4	2	1	viio6/V		E	I		viio6/V		vii	o	6		V			o	0	0	3, 0, 6		6	3	
78	78	332	3/4	3/4	4/4	2	1	V(4)		E	I		V(4)		V			4				M	0	0	1, 0, 2		1	1	
78	78	665/2	7/8	7/8	4/4	2	1	V		E	I		V		V							M	0	0	1, 5, 2		1	1	
79	79	333	0	0	4/4	2	1	I6		E	I		I6		I		6					M	0	0	4, 1, 0		0	4	
79	79	334	1/4	1/4	4/4	2	1	ii6		E	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1	
79	79	335	1/2	1/2	4/4	2	1	V7		E	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1	
79	79	336	3/4	3/4	4/4	2	1	I(94)}		E	I		I(94)		I			94			}	M	0	0	0, -1, 1	2	0	0	
79	79	673/2	7/8	7/8	4/4	2	1	I|IAC		E	I		I		I					IAC		M	0	0	0, 4, 1		0	0	
80	80	337	0	0	4/4	2	1	I6{		E	I		I6		I		6				{	M	0	0	4, 1, 0		0	4	
80	80	675/2	1/8	1/8	4/4	2	1	V64		E	I		V64		V		64					M	0	0	2, 1, 5		1	2	
80	80	338	1/4	1/4	4/4	2	1	V2		E	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1	
80	80	677/2	3/8	3/8	4/4	2	1	I6		E	I		I6		I		6					M	0	0	4, 1, 0		0	4	
80	80	339	1/2	1/2	4/4	2	1	V64		E	I		V64		V		64					M	0	0	2, 1, 5		1	2	
80	80	679/2	5/8	5/8	4/4	2	1	V7/V		E	I		V7/V		V		7		V			Mm7	0	0	2, 6, 3, 0		2	2	
80	80	340	3/4	3/4	4/4	2	1	V(4)		E	I		V(4)		V			4				M	0	0	1, 0, 2		1	1	
80	80	681/2	7/8	7/8	4/4	2	1	V		E	I		V		V							M	0	0	1, 5, 2		1	1	
81	81	341	0	0	4/4	2	1	I6		E	I		I6		I		6					M	0	0	4, 1, 0		0	4	
81	81	342	1/4	1/4	4/4	2	1	ii6		E	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1	
81	81	343	1/2	1/2	4/4	2	1	V(64)		E	I		V(64)		V			64				M	0	0	1, 0, 4		1	1	
81	81	687/2	5/8	5/8	4/4	2	1	V		E	I		V		V							M	0	0	1, 5, 2		1	1	
81	81	344	3/4	3/4	4/4	2	1	I|PAC}		E	I		I		I					PAC	}	M	0	0	0, 4, 1		0	0	
82	82	345	0	0	4/4	2	1	{		E	I										{		0	0					0.0
82	82	691/2	1/8	1/8	4/4	2	1	V6		E	I		V6		V		6					M	0	0	5, 2, 1		1	5	
82	82	346	1/4	1/4	4/4	2	1	V43		E	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2	
82	82	693/2	3/8	3/8	4/4	2	1	I		E	I		I		I							M	0	0	0, 4, 1		0	0	
82	82	347	1/2	1/2	4/4	2	1	I6		E	I		I6		I		6					M	0	0	4, 1, 0		0	4	
