mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	Trill:upprall
29	28	169/2	169/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	278										
29	28	84	84	0.0	1/2	1/2	Dynamic	3/4	1	2	0					f									
29	28	84	84	0.5	1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	279										
29	28	169/2	169/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	280										
29	28	165/2	165/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	281										
29	28	83	83	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	282										
29	28	167/2	167/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	283										
30	29	85	85	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	284									23	
30	29	86	86	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	285										
30	29	87	87	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	286										
30	29	175/2	175/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	287										
30	29	85	85	2.0	0	0	Chord	3/4	1	2	1/2		1/2	1	288										
30	29	87	87	0.0	1/2	1/2	Dynamic	3/4	1	2	0					p									
30	29	87	87	0.5	1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	289										
30	29	175/2	175/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	290										
31	30	88	88	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	291									24	
31	30	89	89	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	292										
31	30	90	90	0.0	1/2	1/2	Dynamic	3/4	1	1	0					f									
31	30	90	90	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	293										
31	30	181/2	181/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	294										
31	30	88	88	2.0	0	0	Chord	3/4	1	2	1/2		1/2	1	295										
31	30	90	90	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	296										
31	30	181/2	181/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	297										
32	31	91	91	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	298									25	
32	31	183/2	183/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	299										
32	31	92	92	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	300									26	
32	31	185/2	185/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	301										
32	31	93	93	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	302									27	
32	31	187/2	187/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	303										
32	31	91	91	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	304										
32	31	92	92	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	305										
32	31	93	93	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	306										
33	32	94	94	0.25	0	0	Chord	3/4	1	1	1/16		1/16	1	307										
33	32	377/4	377/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16		1/16	1	308										
33	32	189/2	189/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	309										
33	32	379/4	379/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	310										
33	32	95	95	0.0	1/4	1/4	Chord	3/4	1	1	0	appoggiatura	1/8	1	311										
33	32	95	95	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	312		ornamentTurn								
33	32	96	96	0.0	1/2	1/2	Dynamic	3/4	1	1	0					ff									
33	32	96	96	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	313										
33	32	193/2	193/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	314										
33	32	96	96	0.5	1/2	1/2	Chord	3/4	1	4	1/8		1/8	1	315										
33	32	193/2	193/2	0.5	5/8	5/8	Chord	3/4	1	4	1/8		1/8	1	316										
33	32	94	94	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	317										
33	32	189/2	189/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	318										
33	32	95	95	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	319										
34	33	97	97	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	320		ornamentTurn								
34	33	98	98	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	321										
34	33	99	99	0.0	1/2	1/2	Dynamic	3/4	1	1	0					p									
34	33	99	99	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	322										
34	33	199/2	199/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	323										
34	33	97	97	2.0	0	0	Chord	3/4	1	4	1/2		1/2	1	324										
34	33	99	99	0.5	1/2	1/2	Chord	3/4	1	4	1/8		1/8	1	325										
34	33	199/2	199/2	0.5	5/8	5/8	Chord	3/4	1	4	1/8		1/8	1	326										
35	34	100	100	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	327		ornamentTurn								
35	34	101	101	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	328										
35	34	102	102	0.0	1/2	1/2	Dynamic	3/4	1	1	0					f									
35	34	102	102	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	329										
35	34	205/2	205/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	330										
35	34	100	100	2.0	0	0	Chord	3/4	1	2	1/2		1/2	1	331										
35	34	102	102	0.5	1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	332										
35	34	205/2	205/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	333										
35	34	102	102	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	334										
35	34	205/2	205/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	335										
36	35	103	103	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	336									28	
36	35	207/2	207/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	337										
36	35	104	104	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	338										
36	35	209/2	209/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16		1/16	1	339										
36	35	419/4	419/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	340										
36	35	105	105	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	341									29	
36	35	211/2	211/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	342		ornamentTurn								
36	35	103	103	0.5	0	0	Chord	3/4	1	2	1/8		1/8	1	343										
36	35	207/2	207/2	0.5	1/8	1/8	Chord	3/4	1	2	1/8		1/8	1	344										
36	35	103	103	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	345										
36	35	104	104	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	346										
36	35	105	105	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	347										
36	35	104	104	1.0	1/4	1/4	Chord	3/4	2	3	1/4		1/4	1	348										
37	36	106	106	0.25	0	0	Chord	3/4	1	1	1/16		1/16	1	349										
37	36	425/4	425/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16		1/16	1	350										
37	36	213/2	213/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	351										
37	36	427/4	427/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	352										
37	36	107	107	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	353										
37	36	108	108	0.0	1/2	1/2	Dynamic	3/4	1	1	0					p									
37	36	108	108	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	354										
37	36	217/2	217/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	355										
37	36	108	108	0.5	1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	356										
37	36	217/2	217/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	357										
37	36	106	106	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	358										
37	36	107	107	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	359										
37	36	215/2	215/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	360										
38	37	109	109	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	361									30	
38	37	219/2	219/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	362										
38	37	111	111	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	363										
38	37	223/2	223/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	364										
38	37	110	110	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	365										
39	38	112	112	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	366									31	
39	38	225/2	225/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	367										
39	38	114	114	0.0	1/2	1/2	Dynamic	3/4	1	1	0					f									
39	38	114	114	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	368										
39	38	229/2	229/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	369										
39	38	114	114	0.5	1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	370										
39	38	229/2	229/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	371										
39	38	113	113	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	372										
40	39	115	115	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	373										
40	39	117	117	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	374										
40	39	235/2	235/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	375										
40	39	115	115	1.5	0	0	Chord	3/4	1	2	3/8		1/4	3/2	376										
40	39	233/2	233/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8		1/8	1	377										
40	39	117	117	0.5	1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	378										
40	39	235/2	235/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	379										
40	39	231/2	231/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	380										
40	39	116	116	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	381										
41	40	118	118	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	382										
41	40	120	120	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	383										
41	40	241/2	241/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	384										
41	40	118	118	1.5	0	0	Chord	3/4	1	2	3/8		1/4	3/2	385										
41	40	239/2	239/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8		1/8	1	386										
41	40	120	120	0.5	1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	387										
41	40	241/2	241/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	388										
41	40	237/2	237/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	389										
41	40	119	119	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	390										
41	40	120	120	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	391										
41	40	120	120	1.0	1/2	1/2	Chord	3/4	2	3	1/4		1/4	1	392										
42	41	121	121	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	393										
42	41	245/2	245/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16		1/16	1	394										
42	41	491/4	491/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	395										
42	41	123	123	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	396									32	
42	41	247/2	247/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	397		ornamentTurn								
42	41	121	121	0.5	0	0	Chord	3/4	1	2	1/8		1/8	1	398									33	
42	41	243/2	243/2	1.5	1/8	1/8	Chord	3/4	1	2	3/8		1/4	3/2	399										
42	41	121	121	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	400										
42	41	122	122	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	401										
42	41	123	123	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	402										
42	41	121	121	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	403										
42	41	122	122	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	404										
42	41	123	123	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	405										
43	42	124	124	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	406									34	
43	42	249/2	249/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	407										
43	42	501/4	501/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16		1/16	1	408										
43	42	251/2	251/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16		1/16	1	409										
43	42	503/4	503/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	410										
43	42	126	126	0.25	1/2	1/2	Chord	3/4	1	1	1/16		1/16	1	411										
43	42	505/4	505/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	412										
43	42	253/2	253/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	413		ornamentTurn								
43	42	124	124	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	414										
43	42	125	125	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	415										
43	42	126	126	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	416										
44	43	127	127	0.25	0	0	Chord	3/4	1	1	1/16		1/16	1	417										
44	43	509/4	509/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16		1/16	1	418										
44	43	255/2	255/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	419										
44	43	511/4	511/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	420										
44	43	128	128	0.25	1/4	1/4	Chord	3/4	1	1	1/16		1/16	1	421										
44	43	513/4	513/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16		1/16	1	422										
44	43	257/2	257/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16		1/16	1	423										
44	43	515/4	515/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	424										
44	43	129	129	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	425									35	
44	43	259/2	259/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	426		ornamentTurn								
44	43	127	127	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	427										
44	43	128	128	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	428										
44	43	129	129	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	429										
45	44	130	130	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	430										
45	44	132	132	0.0	1/2	1/2	Dynamic	3/4	1	1	0					p									
45	44	132	132	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	431										
45	44	265/2	265/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	432										
45	44	130	130	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	433										
45	44	261/2	261/2	0.25	1/8	1/8	Chord	3/4	2	1	1/16		1/16	1	434										
45	44	523/4	523/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	435										
45	44	131	131	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	436										
46	45	133	133	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	437										
46	45	269/2	269/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	438									36	
46	45	135	135	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	439									36	
46	45	271/2	271/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	440										
46	45	267/2	267/2	0.5	1/8	1/8	Chord	3/4	1	2	1/8		1/8	1	441									37	
46	45	134	134	0.5	1/4	1/4	Chord	3/4	1	2	1/8		1/8	1	442									37	
46	45	269/2	269/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8		1/8	1	443									37	
46	45	135	135	0.5	1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	444									37	
46	45	271/2	271/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	445										
47	46	136	136	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	446										
47	46	275/2	275/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	447									38	
47	46	138	138	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	448									38	
47	46	277/2	277/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	449										
47	46	273/2	273/2	0.5	1/8	1/8	Chord	3/4	1	2	1/8		1/8	1	450									39	
47	46	137	137	0.5	1/4	1/4	Chord	3/4	1	2	1/8		1/8	1	451									39	
47	46	275/2	275/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8		1/8	1	452									39	
47	46	138	138	0.5	1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	453									39	
47	46	277/2	277/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	454										
48	47	139	139	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	455										
48	47	279/2	279/2	1.0	1/8	1/8	Chord	3/4	1	1	1/4		1/4	1	456										
48	47	281/2	281/2	1.0	3/8	3/8	Chord	3/4	1	1	1/4		1/4	1	457										
48	47	283/2	283/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	458										
48	47	139	139	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	459										
48	47	140	140	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	460										
48	47	141	141	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	461										
49	48	142	142	0.25	0	0	Chord	3/4	1	1	1/16		1/16	1	462										
49	48	569/4	569/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16		1/16	1	463										
49	48	285/2	285/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	464										
49	48	571/4	571/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	465										
49	48	143	143	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	466									40	
49	48	287/2	287/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	467		ornamentTurn								
49	48	144	144	0.0	1/2	1/2	Dynamic	3/4	1	1	0					f									
49	48	144	144	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	468										
49	48	289/2	289/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	469										
49	48	144	144	0.5	1/2	1/2	Chord	3/4	1	4	1/8		1/8	1	470										
49	48	289/2	289/2	0.5	5/8	5/8	Chord	3/4	1	4	1/8		1/8	1	471										
49	48	142	142	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	472										
49	48	285/2	285/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	473										
49	48	143	143	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	474										
50	49	145	145	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	475										
50	49	147	147	0.0	1/2	1/2	Dynamic	3/4	1	1	0					p									
50	49	145	145	1.0	0	0	Chord	3/4	1	4	1/4		1/4	1	476									41	
50	49	146	146	1.0	1/4	1/4	Chord	3/4	1	4	1/4		1/4	1	477										
50	49	147	147	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	478										
50	49	295/2	295/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	479										
50	49	147	147	0.5	1/2	1/2	Chord	3/4	2	2	1/8		1/8	1	480										
50	49	295/2	295/2	0.5	5/8	5/8	Chord	3/4	2	2	1/8		1/8	1	481										
51	50	150	150	0.0	1/2	1/2	Dynamic	3/4	1	1	0					f									
51	50	601/4	601/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	482										
51	50	301/2	301/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	483										
51	50	603/4	603/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	484										
51	50	148	148	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	485									42	
51	50	149	149	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	486										
51	50	150	150	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	487										
51	50	148	148	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	488										
52	51	605/4	605/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16		1/16	1	489										
52	51	303/2	303/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	490										
52	51	607/4	607/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	491										
52	51	609/4	609/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16		1/16	1	492										
52	51	305/2	305/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16		1/16	1	493										
52	51	611/4	611/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	494										
52	51	613/4	613/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	495										
52	51	307/2	307/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	496										
52	51	615/4	615/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	497										
52	51	151	151	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	498										
52	51	152	152	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	499										
52	51	153	153	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	500										
53	52	617/4	617/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16		1/16	1	501										
53	52	309/2	309/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	502										
53	52	619/4	619/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	503										
53	52	621/4	621/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16		1/16	1	504										
53	52	311/2	311/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16		1/16	1	505										
53	52	623/4	623/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	506										
53	52	625/4	625/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	507										
53	52	313/2	313/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	508										
53	52	627/4	627/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	509										
53	52	154	154	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	510										
53	52	155	155	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	511										
53	52	156	156	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	512										
54	53	629/4	629/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16		1/16	1	513										
54	53	315/2	315/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	514										
54	53	631/4	631/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	515										
54	53	633/4	633/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16		1/16	1	516										
54	53	317/2	317/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16		1/16	1	517										
54	53	635/4	635/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	518										
54	53	637/4	637/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	519										
54	53	319/2	319/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	520										
54	53	639/4	639/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	521										
54	53	157	157	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	522										
54	53	158	158	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	523										
54	53	159	159	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	524										
55	54	641/4	641/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16		1/16	1	525										
55	54	321/2	321/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	526										
55	54	643/4	643/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	527										
55	54	645/4	645/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16		1/16	1	528										
55	54	323/2	323/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16		1/16	1	529										
55	54	647/4	647/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	530										
55	54	649/4	649/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	531										
55	54	325/2	325/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	532										
55	54	651/4	651/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	533										
55	54	160	160	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	534										
55	54	161	161	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	535										
55	54	162	162	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	536										
56	55	653/4	653/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16		1/16	1	537										
56	55	327/2	327/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	538										
56	55	655/4	655/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	539										
56	55	657/4	657/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16		1/16	1	540										
56	55	329/2	329/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16		1/16	1	541										
56	55	659/4	659/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	542										
56	55	661/4	661/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	543										
56	55	331/2	331/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	544										
56	55	663/4	663/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	545										
56	55	163	163	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	546										
56	55	164	164	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	547										
56	55	165	165	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	548										
57	56	665/4	665/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16		1/16	1	549										
57	56	333/2	333/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	550										
57	56	667/4	667/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	551										
57	56	669/4	669/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16		1/16	1	552										
57	56	335/2	335/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16		1/16	1	553										
57	56	671/4	671/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	554										
57	56	673/4	673/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	555										
57	56	337/2	337/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	556										
57	56	675/4	675/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	557										
57	56	166	166	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	558										
57	56	167	167	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	559										
57	56	168	168	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	560										
58	57	677/4	677/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16		1/16	1	561										
58	57	339/2	339/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	562										
